generator,mean_theoretical,mean_observed,variance_theoretical,variance_observed,cv_theoretical,cv_observed
Poisson-exponencial,1.075268817204301,1.0541590137635481,1.1562030292519365,1.135893868220638,1.0,1.011026993362376
Polar-lognormal,1.075268817204301,1.0716406404482206,0.4162330905306972,0.3973025900517118,0.6,0.5881817198229309
Marsaglia Normal,0.0,-0.0008939142972813699,1.0,0.9908135429925541,,
Fuente uniforme PCG64,0.5,0.5020071445100497,0.08333333333333333,0.08060674415372283,,
LCG propio (MINSTD),0.5,0.5015577444723145,0.08333333333333333,0.08417389522162538,,
