model,lambda,survival_probability,ci_low,ci_high,mean_survival_time,mean_generated
poisson,0.4,1.0,0.93982814785791,0.9999999999999998,90.0,36.43333333333333
poisson,0.5,1.0,0.93982814785791,0.9999999999999998,90.0,44.96666666666667
poisson,0.6,0.9833333333333333,0.9114487027240993,0.9970518402052136,89.4975,52.63333333333333
poisson,0.7,0.8666666666666667,0.7583484032350039,0.9308589051941303,85.2225,58.18333333333333
poisson,0.8,0.7666666666666667,0.6456372962239805,0.8556043826335717,81.56750000000001,65.01666666666667
poisson,0.9,0.65,0.5236261884175486,0.7583222559398244,77.94333333333333,69.36666666666666
poisson,1.0,0.18333333333333332,0.10557796889197638,0.2991975374646805,56.51416666666667,56.583333333333336
poisson,1.1,0.03333333333333333,0.009189319256197877,0.113637742743086,45.58333333333333,49.96666666666667
poisson,1.2,0.03333333333333333,0.009189319256197877,0.113637742743086,35.12,43.35
